Rank,Name,Platform,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Sales NA,Sales PAL,Sales JP,Sales Other,Sales Global,Release Date,Last Update,Genre
18001,Fushigi no Dungeon - Furai no Shiren 4 Plus: Kami no Hitomi to Akuma no Heso,PSP,Spike,Spike Chunsoft,,,,,,,0.04m,,0.04m,18th Oct 12,25th Apr 19,Role-Playing
18002,World Poker Tour,PSP,2K Sports,2K Sports,,,,,0.04m,0.00m,,0.00m,0.04m,17th Apr 06,,Misc
18003,Prey,PC,2K Games,Human Head Studios,,8.5,,,,0.04m,,0.00m,0.04m,11th Jul 06,,Shooter
18004,Metal Gear Solid: Digital Graphic Novel,PSP,Konami,Kojima Productions,,7.6,,,0.02m,0.00m,0.02m,0.00m,0.04m,13th Jun 06,,Misc
18005,PopCap Arcade Vol 1,X360,PopCap Games,PopCap Games,,,,,0.04m,,,0.00m,0.04m,15th Nov 07,,Puzzle
18006,Dead Ball Zone,PS,GT Interactive,Rage Software,,,,,0.02m,0.02m,,0.00m,0.04m,01st Aug 98,,Sports
18007,Metal Slug XX,PSP,Atlus,SNK Playmore Corporation,,6.9,,,0.03m,0.00m,,0.01m,0.04m,23rd Feb 10,,Shooter
18008,NBA In The Zone '99,N64,Konami,Konami Computer Entertainment Osaka,,,,,0.04m,,,0.00m,0.04m,07th Apr 99,,Sports
18009,NBA in the Zone 2000,N64,Konami,KCEO,,,,,0.04m,,,0.00m,0.04m,18th Feb 00,,Sports
18010,Winning Post World 2010,PS3,KOEI,Koei,,,,,,,0.04m,,0.04m,02nd Apr 10,,Sports
18011,Do-Konjou Shougakussei: Bon Bita - Hadaka no Choujou Ketsusen!! Bita vs. Dokuro Dei!,DS,Namco Bandai,Namco Bandai Games,,,,,,,0.04m,,0.04m,04th Nov 10,,Action
18012,Farm Frenzy,PC,Mumbo Jumbo,Melesta,,,,,0.04m,,,0.00m,0.04m,30th Jan 08,,Strategy
18013,Haunted Casino,SAT,Societa,Societa,,,,,,,0.04m,,0.04m,27th Sep 96,,Adventure
18014,Terraria,XOne,505 Games,Re-Logic,,,,,,0.04m,,0.00m,0.04m,02nd Dec 14,19th Mar 18,Action
18015,World Series Baseball,SAT,Sega,Sega,,,,,,,0.04m,,0.04m,01st Jan 95,,Sports
18016,New Little King's Story,PSV,Konami Digital Entertainment,Konami,,,,,,,0.04m,,0.04m,29th Mar 12,25th Apr 19,Strategy
18017,PlayStation Move Ape Escape,PS3,Sony Computer Entertainment,SCE Japan Studio,,4.0,,,,0.03m,,0.01m,0.04m,05th Jul 11,16th Sep 18,Party
18018,Aeon Flux,PS2,Majesco,Terminal Reality,,,,,0.02m,0.02m,,0.01m,0.04m,15th Nov 05,,Action
18019,Diabolik Lovers: Dark Fate,PSV,Idea Factory,Rejet,,,,,,,0.04m,,0.04m,26th Feb 15,25th Apr 19,Visual Novel
18020,8 to Glory: The Official Game of the PBR,PS4,THQ Nordic,Three Gates,,,,,0.03m,,,0.01m,0.04m,30th Oct 18,30th Sep 18,Sports
18021,Demolition Company: Gold Edition,PC,Unknown,Giants Software,,,,,,0.04m,,,0.04m,04th Aug 11,,Simulation
18022,Arctic Tale,Wii,DSI Games,Atomic Planet Entertainment,,,,,0.04m,0.00m,,0.00m,0.04m,10th Oct 07,,Adventure
18023,Chicken Blaster,DS,Zoo Games,FrontLine Studios,,,,,0.04m,,,0.00m,0.04m,15th Sep 09,,Shooter
18024,The Legend of Heroes: Trails in the Sky Third Chapter,PSV,Nihon Falcom Corporation,Nihon Falcom Corporation,,,,,,,0.04m,,0.04m,14th Jul 16,22nd Sep 18,Role-Playing
18025,North American Hunting Extravaganza 2,Wii,Destineer,Arcade Moon,,,,,0.03m,0.00m,,0.00m,0.04m,12th Oct 10,,Sports
18026,S.Y.K Renshouden Portable,PSP,Idea Factory,Idea Factory,,,,,,,0.04m,,0.04m,21st Apr 11,,Adventure
18027,Metal Max Returns,SNES,Data East,Crea-Tech,,,,,,,0.04m,,0.04m,29th Sep 95,,Role-Playing
18028,Shattered Union,XB,2K Games,PopTop Software,,,,,0.03m,0.01m,,0.00m,0.04m,17th Oct 05,,Strategy
18029,Cube Creator DX,3DS,Arc System Works,Big John Games,,,,,,,0.04m,,0.04m,27th Apr 17,20th Jan 19,Adventure
18030,Atari Flashback Classics: Volume 1,NS,Atari,Atari,,,,,0.04m,,,0.00m,0.04m,13th Dec 18,13th Mar 18,Misc
18031,Mega Man X Legacy Collection 1+2,XOne,Capcom Entertainment,Digital Eclipse Software,,,,,0.04m,,,0.00m,0.04m,24th Jul 18,18th Aug 18,Platform
18032,Hanaoni: Yume no Tsudzuki,PSP,Idea Factory,Design Factory,,,,,,,0.04m,,0.04m,22nd Mar 12,25th Apr 19,Visual Novel
18033,Mat Hoffman's Pro BMX 2,GC,Activision,Rainbow Studios,,,,,0.03m,0.01m,,0.00m,0.04m,08th Oct 02,,Sports
18034,UnchainBlades ReXX,3DS,Atlus,FuRyu Corporation,,,,,,,0.04m,,0.04m,31st Dec 12,,Role-Playing
18035,Free Running,Wii,Graffiti,Core Design Ltd.,,,,,0.02m,0.02m,,0.00m,0.04m,27th Apr 10,,Sports
18036,Gal Gun,X360,Alchemist,Inti Creates,,,,,,,0.04m,,0.04m,27th Jan 11,04th Mar 18,Simulation
18037,NHL Hitz Pro,GC,Midway Games,Next Level Games,,,,,0.03m,0.01m,,0.00m,0.04m,25th Sep 03,,Sports
18038,Ookami Kakushi,PSP,Konami,Konami,,,,,,,0.04m,,0.04m,20th Aug 09,,Action
18039,Blood Money,All,Psygnosis,DMA Design,,,,0.04m,,,,,,01st May 89,23rd Apr 21,Shooter
18040,Bureaucracy,PC,Infocom,"Infocom, Inc.",,,,0.04m,,,,,,01st Jan 87,,Adventure
18041,Deadly Arts,N64,Konami,Konami Computer Entertainment Osaka,,,,,0.03m,0.01m,,0.00m,0.04m,07th Oct 98,,Fighting
18042,Her Story,iOS,Unknown,Sam Barlow,,,,0.04m,,,,,,,19th Feb 21,Adventure
18043,Looney Tunes Duck Dodgers Starring: Daffy Duck,N64,Infogrames,Paradigm Entertainment,,,,,0.03m,0.01m,,0.00m,0.04m,16th Sep 00,,Platform
18044,Mia's Reading Adventure: The Search for Grandma's Remedy,PC,Kutoka Interactive,Kutoka Interactive,,,,0.04m,,,,,,01st Nov 98,24th Apr 22,Adventure
